epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,133.596,1.92084,1.78687,2.45226,0.38212,0.40551,0.34406,0.17212,1.88623,2.17768,2.49706,0.000911,0.000911,0.000911
57,136.372,2.00411,1.80129,2.41336,0.40306,0.44882,0.40737,0.20774,1.82674,2.05698,2.41794,0.0008912,0.0008912,0.0008912
58,139.395,1.95476,1.77854,2.44262,0.5608,0.51575,0.50734,0.26419,1.76584,1.87942,2.34984,0.0008714,0.0008714,0.0008714
59,141.388,1.91803,1.69273,2.39855,0.58574,0.52756,0.52917,0.27619,1.79186,1.83432,2.3565,0.0008516,0.0008516,0.0008516
60,143.503,1.98168,1.87384,2.50507,0.61495,0.48031,0.52319,0.27458,1.78263,1.87172,2.33383,0.0008318,0.0008318,0.0008318
61,145.422,1.873,1.88488,2.44558,0.60958,0.5,0.53113,0.28981,1.71951,1.88739,2.25756,0.000812,0.000812,0.000812
62,147.615,1.92244,1.79429,2.40268,0.57699,0.51016,0.52999,0.29466,1.7136,1.87805,2.23744,0.0007922,0.0007922,0.0007922
63,150.197,1.90041,1.77266,2.42607,0.61377,0.51575,0.56363,0.31445,1.7012,1.78733,2.22233,0.0007724,0.0007724,0.0007724
64,153.381,2.04773,1.86442,2.46999,0.5917,0.6219,0.60074,0.34406,1.6984,1.66943,2.19421,0.0007526,0.0007526,0.0007526
65,155.604,1.934,1.79676,2.36537,0.64818,0.60929,0.62284,0.3573,1.67978,1.62217,2.19752,0.0007328,0.0007328,0.0007328
66,157.657,1.8027,1.72402,2.29533,0.61442,0.56299,0.58587,0.33513,1.67469,1.67475,2.24024,0.000713,0.000713,0.000713
67,159.773,1.84648,1.74265,2.38815,0.58261,0.55512,0.54336,0.31374,1.65593,1.70707,2.25254,0.0006932,0.0006932,0.0006932
68,161.863,1.88325,1.74715,2.4151,0.58108,0.54064,0.53046,0.31598,1.65943,1.7107,2.25473,0.0006734,0.0006734,0.0006734
69,164.317,1.77849,1.64367,2.27938,0.63391,0.55902,0.57156,0.32472,1.72667,1.70454,2.2864,0.0006536,0.0006536,0.0006536
70,167.563,1.92862,1.81916,2.37698,0.56519,0.52756,0.55598,0.29804,1.79626,1.77224,2.32643,0.0006338,0.0006338,0.0006338
71,169.591,1.83051,1.63053,2.27135,0.55232,0.50787,0.53159,0.28526,1.78545,1.81166,2.33339,0.000614,0.000614,0.000614
72,171.617,1.79874,1.62646,2.27912,0.5208,0.5,0.52611,0.30376,1.70433,1.76009,2.26633,0.0005942,0.0005942,0.0005942
73,173.603,1.87919,1.71935,2.32914,0.54904,0.55602,0.56089,0.34261,1.60079,1.64656,2.17594,0.0005744,0.0005744,0.0005744
74,175.693,1.90147,1.74129,2.37602,0.56479,0.58757,0.5786,0.3636,1.5366,1.57111,2.11823,0.0005546,0.0005546,0.0005546
75,178.103,1.76344,1.55372,2.19678,0.62045,0.57924,0.60436,0.37505,1.52558,1.53942,2.09802,0.0005348,0.0005348,0.0005348
76,181.425,1.78117,1.6048,2.25314,0.60178,0.57874,0.59519,0.36229,1.52102,1.58046,2.10015,0.000515,0.000515,0.000515
77,183.508,1.78347,1.62576,2.29541,0.63673,0.55118,0.60777,0.36305,1.51657,1.60892,2.09714,0.0004952,0.0004952,0.0004952
78,185.581,1.78445,1.64617,2.23758,0.67027,0.53937,0.6222,0.37987,1.49061,1.61134,2.08308,0.0004754,0.0004754,0.0004754
79,187.66,1.77113,1.62259,2.26988,0.65965,0.51889,0.62501,0.37769,1.48666,1.6122,2.08907,0.0004556,0.0004556,0.0004556
80,189.718,1.77984,1.67897,2.30594,0.66498,0.54724,0.62317,0.38907,1.47899,1.59436,2.09262,0.0004358,0.0004358,0.0004358
81,191.83,1.88164,1.75964,2.35304,0.70623,0.57087,0.65077,0.40467,1.46794,1.5685,2.08247,0.000416,0.000416,0.000416
82,195.129,1.87666,1.71586,2.35081,0.68282,0.5748,0.63151,0.38762,1.4876,1.58429,2.0977,0.0003962,0.0003962,0.0003962
83,197.759,1.74137,1.60085,2.21826,0.65926,0.55118,0.61576,0.36867,1.54054,1.57272,2.14071,0.0003764,0.0003764,0.0003764
84,199.723,1.7693,1.56103,2.21996,0.59041,0.5902,0.62872,0.37635,1.5239,1.51451,2.11449,0.0003566,0.0003566,0.0003566
85,201.806,1.75277,1.57114,2.22774,0.63549,0.56283,0.63591,0.40196,1.48186,1.47406,2.07929,0.0003368,0.0003368,0.0003368
86,203.909,1.8032,1.65204,2.23591,0.6564,0.57874,0.62978,0.41234,1.45007,1.47004,2.04975,0.000317,0.000317,0.000317
